Process Id = 165, Previous Burst Time = 51, New Burst Time = 0, Response Time = 70, Turn Around Time = 121
Process Id = 166, Previous Burst Time = 94, New Burst Time = 0, Response Time = 92, Turn Around Time = 186
Process Id = 167, Previous Burst Time = 1, New Burst Time = 0, Response Time = 144, Turn Around Time = 145
Process Id = 168, Previous Burst Time = 35, New Burst Time = 0, Response Time = 94, Turn Around Time = 129
Process Id = 169, Previous Burst Time = 65, New Burst Time = 0, Response Time = 35, Turn Around Time = 100
Process Id = 170, Previous Burst Time = 25, New Burst Time = 0, Response Time = 99, Turn Around Time = 124
Process Id = 171, Previous Burst Time = 15, New Burst Time = 0, Response Time = 89, Turn Around Time = 104
Process Id = 172, Previous Burst Time = 88, New Burst Time = 0, Response Time = 39, Turn Around Time = 127
Process Id = 173, Previous Burst Time = 57, New Burst Time = 0, Response Time = 102, Turn Around Time = 159
Process Id = 174, Previous Burst Time = 44, New Burst Time = 0, Response Time = 144, Turn Around Time = 188
Process Id = 175, Previous Burst Time = 92, New Burst Time = 0, Response Time = 100, Turn Around Time = 192
Process Id = 176, Previous Burst Time = 28, New Burst Time = 0, Response Time = 135, Turn Around Time = 163
Process Id = 177, Previous Burst Time = 66, New Burst Time = 0, Response Time = 119, Turn Around Time = 185
Process Id = 178, Previous Burst Time = 60, New Burst Time = 0, Response Time = 93, Turn Around Time = 153
Process Id = 179, Previous Burst Time = 37, New Burst Time = 0, Response Time = 125, Turn Around Time = 162
Process Id = 180, Previous Burst Time = 33, New Burst Time = 0, Response Time = 96, Turn Around Time = 129
Process Id = 181, Previous Burst Time = 52, New Burst Time = 0, Response Time = 69, Turn Around Time = 121
Process Id = 182, Previous Burst Time = 38, New Burst Time = 0, Response Time = 84, Turn Around Time = 122
Process Id = 183, Previous Burst Time = 29, New Burst Time = 0, Response Time = 89, Turn Around Time = 118
Process Id = 184, Previous Burst Time = 76, New Burst Time = 0, Response Time = 66, Turn Around Time = 142
Process Id = 185, Previous Burst Time = 8, New Burst Time = 0, Response Time = 104, Turn Around Time = 112
